zip,default_state,county,county_state,state_abbreviation,county_code,zip_pop,zip_pop_in_county,n_counties,default_city
36003,AL,Autauga County,Autauga County,AL,1,,,,
36006,AL,Autauga County,Autauga County,AL,1,,,,
36008,AL,Autauga County,Autauga County,AL,1,,,,
36022,AL,Autauga County,Autauga County,AL,1,,,,
36051,AL,Autauga County,Autauga County,AL,1,,,,
36066,AL,Autauga County,Autauga County,AL,1,,,,
36067,AL,Autauga County,Autauga County,AL,1,,,,
36091,AL,Autauga County,Autauga County,AL,1,,,,
36703,AL,Autauga County,Autauga County,AL,1,,,,
36749,AL,Autauga County,Autauga County,AL,1,,,,
36758,AL,Autauga County,Autauga County,AL,1,,,,
36502,AL,Baldwin County,Baldwin County,AL,3,,,,
36507,AL,Baldwin County,Baldwin County,AL,3,,,,
36511,AL,Baldwin County,Baldwin County,AL,3,,,,
36526,AL,Baldwin County,Baldwin County,AL,3,,,,
36527,AL,Baldwin County,Baldwin County,AL,3,,,,
36530,AL,Baldwin County,Baldwin County,AL,3,,,,
36532,AL,Baldwin County,Baldwin County,AL,3,,,,
36535,AL,Baldwin County,Baldwin County,AL,3,,,,
36542,AL,Baldwin County,Baldwin County,AL,3,,,,
36549,AL,Baldwin County,Baldwin County,AL,3,,,,
36550,AL,Baldwin County,Baldwin County,AL,3,,,,
36551,AL,Baldwin County,Baldwin County,AL,3,,,,
36555,AL,Baldwin County,Baldwin County,AL,3,,,,
36559,AL,Baldwin County,Baldwin County,AL,3,,,,
36561,AL,Baldwin County,Baldwin County,AL,3,,,,
36562,AL,Baldwin County,Baldwin County,AL,3,,,,
36564,AL,Baldwin County,Baldwin County,AL,3,,,,
36567,AL,Baldwin County,Baldwin County,AL,3,,,,
36574,AL,Baldwin County,Baldwin County,AL,3,,,,
36576,AL,Baldwin County,Baldwin County,AL,3,,,,
36578,AL,Baldwin County,Baldwin County,AL,3,,,,
36579,AL,Baldwin County,Baldwin County,AL,3,,,,
36580,AL,Baldwin County,Baldwin County,AL,3,,,,
36016,AL,Barbour County,Barbour County,AL,5,,,,
36017,AL,Barbour County,Barbour County,AL,5,,,,
36027,AL,Barbour County,Barbour County,AL,5,,,,
36048,AL,Barbour County,Barbour County,AL,5,,,,
36053,AL,Barbour County,Barbour County,AL,5,,,,
36311,AL,Barbour County,Barbour County,AL,5,,,,
36317,AL,Barbour County,Barbour County,AL,5,,,,
36374,AL,Barbour County,Barbour County,AL,5,,,,
35034,AL,Bibb County,Bibb County,AL,7,,,,
35035,AL,Bibb County,Bibb County,AL,7,,,,
35042,AL,Bibb County,Bibb County,AL,7,,,,
35074,AL,Bibb County,Bibb County,AL,7,,,,
35111,AL,Bibb County,Bibb County,AL,7,,,,
35115,AL,Bibb County,Bibb County,AL,7,,,,
35184,AL,Bibb County,Bibb County,AL,7,,,,
35188,AL,Bibb County,Bibb County,AL,7,,,,
35456,AL,Bibb County,Bibb County,AL,7,,,,
36750,AL,Bibb County,Bibb County,AL,7,,,,
36792,AL,Bibb County,Bibb County,AL,7,,,,
36793,AL,Bibb County,Bibb County,AL,7,,,,
35013,AL,Blount County,Blount County,AL,9,,,,
35016,AL,Blount County,Blount County,AL,9,,,,
35031,AL,Blount County,Blount County,AL,9,,,,
35049,AL,Blount County,Blount County,AL,9,,,,
35063,AL,Blount County,Blount County,AL,9,,,,
35079,AL,Blount County,Blount County,AL,9,,,,
35097,AL,Blount County,Blount County,AL,9,,,,
35121,AL,Blount County,Blount County,AL,9,,,,
35126,AL,Blount County,Blount County,AL,9,,,,
35133,AL,Blount County,Blount County,AL,9,,,,
35146,AL,Blount County,Blount County,AL,9,,,,
35172,AL,Blount County,Blount County,AL,9,,,,
35180,AL,Blount County,Blount County,AL,9,,,,
35952,AL,Blount County,Blount County,AL,9,,,,
35957,AL,Blount County,Blount County,AL,9,,,,
35976,AL,Blount County,Blount County,AL,9,,,,
35980,AL,Blount County,Blount County,AL,9,,,,
36005,AL,Bullock County,Bullock County,AL,11,,,,
36029,AL,Bullock County,Bullock County,AL,11,,,,
36031,AL,Bullock County,Bullock County,AL,11,,,,
36052,AL,Bullock County,Bullock County,AL,11,,,,
36053,AL,Bullock County,Bullock County,AL,11,,,,
36089,AL,Bullock County,Bullock County,AL,11,,,,
36015,AL,Butler County,Butler County,AL,13,,,,
36030,AL,Butler County,Butler County,AL,13,,,,
36032,AL,Butler County,Butler County,AL,13,,,,
36033,AL,Butler County,Butler County,AL,13,,,,
36037,AL,Butler County,Butler County,AL,13,,,,
36042,AL,Butler County,Butler County,AL,13,,,,
36071,AL,Butler County,Butler County,AL,13,,,,
36456,AL,Butler County,Butler County,AL,13,,,,
35096,AL,Calhoun County,Calhoun County,AL,15,,,,
35905,AL,Calhoun County,Calhoun County,AL,15,,,,
36201,AL,Calhoun County,Calhoun County,AL,15,,,,
36203,AL,Calhoun County,Calhoun County,AL,15,,,,
36204,AL,Calhoun County,Calhoun County,AL,15,,,,
36205,AL,Calhoun County,Calhoun County,AL,15,,,,
36206,AL,Calhoun County,Calhoun County,AL,15,,,,
36207,AL,Calhoun County,Calhoun County,AL,15,,,,
36250,AL,Calhoun County,Calhoun County,AL,15,,,,
36253,AL,Calhoun County,Calhoun County,AL,15,,,,
36254,AL,Calhoun County,Calhoun County,AL,15,,,,
36257,AL,Calhoun County,Calhoun County,AL,15,,,,
36260,AL,Calhoun County,Calhoun County,AL,15,,,,
36265,AL,Calhoun County,Calhoun County,AL,15,,,,
36271,AL,Calhoun County,Calhoun County,AL,15,,,,
36272,AL,Calhoun County,Calhoun County,AL,15,,,,
36277,AL,Calhoun County,Calhoun County,AL,15,,,,
36279,AL,Calhoun County,Calhoun County,AL,15,,,,
36274,AL,Chambers County,Chambers County,AL,17,,,,
36276,AL,Chambers County,Chambers County,AL,17,,,,
36801,AL,Chambers County,Chambers County,AL,17,,,,
36850,AL,Chambers County,Chambers County,AL,17,,,,
36852,AL,Chambers County,Chambers County,AL,17,,,,
36854,AL,Chambers County,Chambers County,AL,17,,,,
36855,AL,Chambers County,Chambers County,AL,17,,,,
36862,AL,Chambers County,Chambers County,AL,17,,,,
36863,AL,Chambers County,Chambers County,AL,17,,,,
36879,AL,Chambers County,Chambers County,AL,17,,,,
35901,AL,Cherokee County,Cherokee County,AL,19,,,,
35903,AL,Cherokee County,Cherokee County,AL,19,,,,
35959,AL,Cherokee County,Cherokee County,AL,19,,,,
35960,AL,Cherokee County,Cherokee County,AL,19,,,,
35961,AL,Cherokee County,Cherokee County,AL,19,,,,
35967,AL,Cherokee County,Cherokee County,AL,19,,,,
35973,AL,Cherokee County,Cherokee County,AL,19,,,,
35983,AL,Cherokee County,Cherokee County,AL,19,,,,
35984,AL,Cherokee County,Cherokee County,AL,19,,,,
36272,AL,Cherokee County,Cherokee County,AL,19,,,,
36275,AL,Cherokee County,Cherokee County,AL,19,,,,
35040,AL,Chilton County,Chilton County,AL,21,,,,
35045,AL,Chilton County,Chilton County,AL,21,,,,
35046,AL,Chilton County,Chilton County,AL,21,,,,
35085,AL,Chilton County,Chilton County,AL,21,,,,
35115,AL,Chilton County,Chilton County,AL,21,,,,
35171,AL,Chilton County,Chilton County,AL,21,,,,
36006,AL,Chilton County,Chilton County,AL,21,,,,
36051,AL,Chilton County,Chilton County,AL,21,,,,
36091,AL,Chilton County,Chilton County,AL,21,,,,
36750,AL,Chilton County,Chilton County,AL,21,,,,
36758,AL,Chilton County,Chilton County,AL,21,,,,
36790,AL,Chilton County,Chilton County,AL,21,,,,
36792,AL,Chilton County,Chilton County,AL,21,,,,
36793,AL,Chilton County,Chilton County,AL,21,,,,
36904,AL,Choctaw County,Choctaw County,AL,23,,,,
36908,AL,Choctaw County,Choctaw County,AL,23,,,,
36910,AL,Choctaw County,Choctaw County,AL,23,,,,
36912,AL,Choctaw County,Choctaw County,AL,23,,,,
36913,AL,Choctaw County,Choctaw County,AL,23,,,,
36915,AL,Choctaw County,Choctaw County,AL,23,,,,
36916,AL,Choctaw County,Choctaw County,AL,23,,,,
36919,AL,Choctaw County,Choctaw County,AL,23,,,,
36921,AL,Choctaw County,Choctaw County,AL,23,,,,
36922,AL,Choctaw County,Choctaw County,AL,23,,,,
36436,AL,Clarke County,Clarke County,AL,25,,,,
36446,AL,Clarke County,Clarke County,AL,25,,,,
36451,AL,Clarke County,Clarke County,AL,25,,,,
36482,AL,Clarke County,Clarke County,AL,25,,,,
36524,AL,Clarke County,Clarke County,AL,25,,,,
36540,AL,Clarke County,Clarke County,AL,25,,,,
36545,AL,Clarke County,Clarke County,AL,25,,,,
36727,AL,Clarke County,Clarke County,AL,25,,,,
36784,AL,Clarke County,Clarke County,AL,25,,,,
35072,AL,Clay County,Clay County,AL,27,,,,
35082,AL,Clay County,Clay County,AL,27,,,,
35160,AL,Clay County,Clay County,AL,27,,,,
36251,AL,Clay County,Clay County,AL,27,,,,
36255,AL,Clay County,Clay County,AL,27,,,,
36256,AL,Clay County,Clay County,AL,27,,,,
36258,AL,Clay County,Clay County,AL,27,,,,
36266,AL,Clay County,Clay County,AL,27,,,,
36267,AL,Clay County,Clay County,AL,27,,,,
36268,AL,Clay County,Clay County,AL,27,,,,
36276,AL,Clay County,Clay County,AL,27,,,,
36258,AL,Cleburne County,Cleburne County,AL,29,,,,
36261,AL,Cleburne County,Cleburne County,AL,29,,,,
36262,AL,Cleburne County,Cleburne County,AL,29,,,,
36264,AL,Cleburne County,Cleburne County,AL,29,,,,
36268,AL,Cleburne County,Cleburne County,AL,29,,,,
36269,AL,Cleburne County,Cleburne County,AL,29,,,,
36272,AL,Cleburne County,Cleburne County,AL,29,,,,
36273,AL,Cleburne County,Cleburne County,AL,29,,,,
36009,AL,Coffee County,Coffee County,AL,31,,,,
36010,AL,Coffee County,Coffee County,AL,31,,,,
36034,AL,Coffee County,Coffee County,AL,31,,,,
36079,AL,Coffee County,Coffee County,AL,31,,,,
36311,AL,Coffee County,Coffee County,AL,31,,,,
36316,AL,Coffee County,Coffee County,AL,31,,,,
36318,AL,Coffee County,Coffee County,AL,31,,,,
36323,AL,Coffee County,Coffee County,AL,31,,,,
36330,AL,Coffee County,Coffee County,AL,31,,,,
36346,AL,Coffee County,Coffee County,AL,31,,,,
36351,AL,Coffee County,Coffee County,AL,31,,,,
36453,AL,Coffee County,Coffee County,AL,31,,,,
36467,AL,Coffee County,Coffee County,AL,31,,,,
36477,AL,Coffee County,Coffee County,AL,31,,,,
35582,AL,Colbert County,Colbert County,AL,33,,,,
35616,AL,Colbert County,Colbert County,AL,33,,,,
35646,AL,Colbert County,Colbert County,AL,33,,,,
35653,AL,Colbert County,Colbert County,AL,33,,,,
35654,AL,Colbert County,Colbert County,AL,33,,,,
35660,AL,Colbert County,Colbert County,AL,33,,,,
35661,AL,Colbert County,Colbert County,AL,33,,,,
35672,AL,Colbert County,Colbert County,AL,33,,,,
35674,AL,Colbert County,Colbert County,AL,33,,,,
36033,AL,Conecuh County,Conecuh County,AL,35,,,,
36401,AL,Conecuh County,Conecuh County,AL,35,,,,
36426,AL,Conecuh County,Conecuh County,AL,35,,,,
36429,AL,Conecuh County,Conecuh County,AL,35,,,,
36432,AL,Conecuh County,Conecuh County,AL,35,,,,
36454,AL,Conecuh County,Conecuh County,AL,35,,,,
36460,AL,Conecuh County,Conecuh County,AL,35,,,,
36471,AL,Conecuh County,Conecuh County,AL,35,,,,
36473,AL,Conecuh County,Conecuh County,AL,35,,,,
36475,AL,Conecuh County,Conecuh County,AL,35,,,,
36502,AL,Conecuh County,Conecuh County,AL,35,,,,
35010,AL,Coosa County,Coosa County,AL,37,,,,
35046,AL,Coosa County,Coosa County,AL,37,,,,
35072,AL,Coosa County,Coosa County,AL,37,,,,
35089,AL,Coosa County,Coosa County,AL,37,,,,
35136,AL,Coosa County,Coosa County,AL,37,,,,
35150,AL,Coosa County,Coosa County,AL,37,,,,
35151,AL,Coosa County,Coosa County,AL,37,,,,
35183,AL,Coosa County,Coosa County,AL,37,,,,
36026,AL,Coosa County,Coosa County,AL,37,,,,
36080,AL,Coosa County,Coosa County,AL,37,,,,
36028,AL,Covington County,Covington County,AL,39,,,,
36038,AL,Covington County,Covington County,AL,39,,,,
36420,AL,Covington County,Covington County,AL,39,,,,
36421,AL,Covington County,Covington County,AL,39,,,,
36442,AL,Covington County,Covington County,AL,39,,,,
36453,AL,Covington County,Covington County,AL,39,,,,
36455,AL,Covington County,Covington County,AL,39,,,,
36467,AL,Covington County,Covington County,AL,39,,,,
36474,AL,Covington County,Covington County,AL,39,,,,
36476,AL,Covington County,Covington County,AL,39,,,,
36477,AL,Covington County,Covington County,AL,39,,,,
36483,AL,Covington County,Covington County,AL,39,,,,
36009,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36028,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36034,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36035,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36036,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36037,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36041,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36042,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36046,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36049,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36071,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36323,AL,Crenshaw County,Crenshaw County,AL,41,,,,
36467,AL,Crenshaw County,Crenshaw County,AL,41,,,,
35016,AL,Cullman County,Cullman County,AL,43,,,,
35019,AL,Cullman County,Cullman County,AL,43,,,,
35033,AL,Cullman County,Cullman County,AL,43,,,,
35053,AL,Cullman County,Cullman County,AL,43,,,,
35055,AL,Cullman County,Cullman County,AL,43,,,,
35057,AL,Cullman County,Cullman County,AL,43,,,,
35058,AL,Cullman County,Cullman County,AL,43,,,,
35070,AL,Cullman County,Cullman County,AL,43,,,,
35077,AL,Cullman County,Cullman County,AL,43,,,,
35083,AL,Cullman County,Cullman County,AL,43,,,,
35087,AL,Cullman County,Cullman County,AL,43,,,,
35098,AL,Cullman County,Cullman County,AL,43,,,,
35179,AL,Cullman County,Cullman County,AL,43,,,,
35540,AL,Cullman County,Cullman County,AL,43,,,,
35541,AL,Cullman County,Cullman County,AL,43,,,,
35619,AL,Cullman County,Cullman County,AL,43,,,,
35621,AL,Cullman County,Cullman County,AL,43,,,,
35622,AL,Cullman County,Cullman County,AL,43,,,,
35976,AL,Cullman County,Cullman County,AL,43,,,,
36303,AL,Dale County,Dale County,AL,45,,,,
36311,AL,Dale County,Dale County,AL,45,,,,
36317,AL,Dale County,Dale County,AL,45,,,,
36322,AL,Dale County,Dale County,AL,45,,,,
36330,AL,Dale County,Dale County,AL,45,,,,
36345,AL,Dale County,Dale County,AL,45,,,,
36350,AL,Dale County,Dale County,AL,45,,,,
36352,AL,Dale County,Dale County,AL,45,,,,
36353,AL,Dale County,Dale County,AL,45,,,,
36360,AL,Dale County,Dale County,AL,45,,,,
36362,AL,Dale County,Dale County,AL,45,,,,
36371,AL,Dale County,Dale County,AL,45,,,,
36374,AL,Dale County,Dale County,AL,45,,,,
36701,AL,Dallas County,Dallas County,AL,47,,,,
36703,AL,Dallas County,Dallas County,AL,47,,,,
36749,AL,Dallas County,Dallas County,AL,47,,,,
36758,AL,Dallas County,Dallas County,AL,47,,,,
36759,AL,Dallas County,Dallas County,AL,47,,,,
36761,AL,Dallas County,Dallas County,AL,47,,,,
36767,AL,Dallas County,Dallas County,AL,47,,,,
36773,AL,Dallas County,Dallas County,AL,47,,,,
36775,AL,Dallas County,Dallas County,AL,47,,,,
36785,AL,Dallas County,Dallas County,AL,47,,,,
35765,AL,DeKalb County,DeKalb County,AL,49,,,,
35771,AL,DeKalb County,DeKalb County,AL,49,,,,
35951,AL,DeKalb County,DeKalb County,AL,49,,,,
35954,AL,DeKalb County,DeKalb County,AL,49,,,,
35956,AL,DeKalb County,DeKalb County,AL,49,,,,
35957,AL,DeKalb County,DeKalb County,AL,49,,,,
35959,AL,DeKalb County,DeKalb County,AL,49,,,,
35961,AL,DeKalb County,DeKalb County,AL,49,,,,
35962,AL,DeKalb County,DeKalb County,AL,49,,,,
35963,AL,DeKalb County,DeKalb County,AL,49,,,,
35966,AL,DeKalb County,DeKalb County,AL,49,,,,
35967,AL,DeKalb County,DeKalb County,AL,49,,,,
35968,AL,DeKalb County,DeKalb County,AL,49,,,,
35971,AL,DeKalb County,DeKalb County,AL,49,,,,
35974,AL,DeKalb County,DeKalb County,AL,49,,,,
35975,AL,DeKalb County,DeKalb County,AL,49,,,,
35978,AL,DeKalb County,DeKalb County,AL,49,,,,
35979,AL,DeKalb County,DeKalb County,AL,49,,,,
35981,AL,DeKalb County,DeKalb County,AL,49,,,,
35983,AL,DeKalb County,DeKalb County,AL,49,,,,
35984,AL,DeKalb County,DeKalb County,AL,49,,,,
35986,AL,DeKalb County,DeKalb County,AL,49,,,,
35988,AL,DeKalb County,DeKalb County,AL,49,,,,
35989,AL,DeKalb County,DeKalb County,AL,49,,,,
35010,AL,Elmore County,Elmore County,AL,51,,,,
36020,AL,Elmore County,Elmore County,AL,51,,,,
36022,AL,Elmore County,Elmore County,AL,51,,,,
36024,AL,Elmore County,Elmore County,AL,51,,,,
36025,AL,Elmore County,Elmore County,AL,51,,,,
36026,AL,Elmore County,Elmore County,AL,51,,,,
36051,AL,Elmore County,Elmore County,AL,51,,,,
36054,AL,Elmore County,Elmore County,AL,51,,,,
36066,AL,Elmore County,Elmore County,AL,51,,,,
36078,AL,Elmore County,Elmore County,AL,51,,,,
36080,AL,Elmore County,Elmore County,AL,51,,,,
36092,AL,Elmore County,Elmore County,AL,51,,,,
36093,AL,Elmore County,Elmore County,AL,51,,,,
36420,AL,Escambia County,Escambia County,AL,53,,,,
36426,AL,Escambia County,Escambia County,AL,53,,,,
36432,AL,Escambia County,Escambia County,AL,53,,,,
36441,AL,Escambia County,Escambia County,AL,53,,,,
36483,AL,Escambia County,Escambia County,AL,53,,,,
36502,AL,Escambia County,Escambia County,AL,53,,,,
36503,AL,Escambia County,Escambia County,AL,53,,,,
36543,AL,Escambia County,Escambia County,AL,53,,,,
36562,AL,Escambia County,Escambia County,AL,53,,,,
35121,AL,Etowah County,Etowah County,AL,55,,,,
35901,AL,Etowah County,Etowah County,AL,55,,,,
35903,AL,Etowah County,Etowah County,AL,55,,,,
35904,AL,Etowah County,Etowah County,AL,55,,,,
35905,AL,Etowah County,Etowah County,AL,55,,,,
35906,AL,Etowah County,Etowah County,AL,55,,,,
35907,AL,Etowah County,Etowah County,AL,55,,,,
35952,AL,Etowah County,Etowah County,AL,55,,,,
35954,AL,Etowah County,Etowah County,AL,55,,,,
35956,AL,Etowah County,Etowah County,AL,55,,,,
35957,AL,Etowah County,Etowah County,AL,55,,,,
35961,AL,Etowah County,Etowah County,AL,55,,,,
35972,AL,Etowah County,Etowah County,AL,55,,,,
35990,AL,Etowah County,Etowah County,AL,55,,,,
36271,AL,Etowah County,Etowah County,AL,55,,,,
36272,AL,Etowah County,Etowah County,AL,55,,,,
35542,AL,Fayette County,Fayette County,AL,57,,,,
35545,AL,Fayette County,Fayette County,AL,57,,,,
35546,AL,Fayette County,Fayette County,AL,57,,,,
35549,AL,Fayette County,Fayette County,AL,57,,,,
35554,AL,Fayette County,Fayette County,AL,57,,,,
35555,AL,Fayette County,Fayette County,AL,57,,,,
35559,AL,Fayette County,Fayette County,AL,57,,,,
35563,AL,Fayette County,Fayette County,AL,57,,,,
35574,AL,Fayette County,Fayette County,AL,57,,,,
35594,AL,Fayette County,Fayette County,AL,57,,,,
35564,AL,Franklin County,Franklin County,AL,59,,,,
35565,AL,Franklin County,Franklin County,AL,59,,,,
35571,AL,Franklin County,Franklin County,AL,59,,,,
35581,AL,Franklin County,Franklin County,AL,59,,,,
35582,AL,Franklin County,Franklin County,AL,59,,,,
35585,AL,Franklin County,Franklin County,AL,59,,,,
35593,AL,Franklin County,Franklin County,AL,59,,,,
35653,AL,Franklin County,Franklin County,AL,59,,,,
35654,AL,Franklin County,Franklin County,AL,59,,,,
36301,AL,Geneva County,Geneva County,AL,61,,,,
36305,AL,Geneva County,Geneva County,AL,61,,,,
36313,AL,Geneva County,Geneva County,AL,61,,,,
36314,AL,Geneva County,Geneva County,AL,61,,,,
36316,AL,Geneva County,Geneva County,AL,61,,,,
36318,AL,Geneva County,Geneva County,AL,61,,,,
36322,AL,Geneva County,Geneva County,AL,61,,,,
36340,AL,Geneva County,Geneva County,AL,61,,,,
36344,AL,Geneva County,Geneva County,AL,61,,,,
36349,AL,Geneva County,Geneva County,AL,61,,,,
36352,AL,Geneva County,Geneva County,AL,61,,,,
36375,AL,Geneva County,Geneva County,AL,61,,,,
36453,AL,Geneva County,Geneva County,AL,61,,,,
36477,AL,Geneva County,Geneva County,AL,61,,,,
35443,AL,Greene County,Greene County,AL,63,,,,
35448,AL,Greene County,Greene County,AL,63,,,,
35462,AL,Greene County,Greene County,AL,63,,,,
35469,AL,Greene County,Greene County,AL,63,,,,
35480,AL,Greene County,Greene County,AL,63,,,,
35491,AL,Greene County,Greene County,AL,63,,,,
36740,AL,Greene County,Greene County,AL,63,,,,
35441,AL,Hale County,Hale County,AL,65,,,,
35474,AL,Hale County,Hale County,AL,65,,,,
36738,AL,Hale County,Hale County,AL,65,,,,
36742,AL,Hale County,Hale County,AL,65,,,,
36744,AL,Hale County,Hale County,AL,65,,,,
36765,AL,Hale County,Hale County,AL,65,,,,
36776,AL,Hale County,Hale County,AL,65,,,,
36303,AL,Henry County,Henry County,AL,67,,,,
36310,AL,Henry County,Henry County,AL,67,,,,
36317,AL,Henry County,Henry County,AL,67,,,,
36319,AL,Henry County,Henry County,AL,67,,,,
36345,AL,Henry County,Henry County,AL,67,,,,
36350,AL,Henry County,Henry County,AL,67,,,,
36353,AL,Henry County,Henry County,AL,67,,,,
36373,AL,Henry County,Henry County,AL,67,,,,
36301,AL,Houston County,Houston County,AL,69,,,,
36302,AL,Houston County,Houston County,AL,69,,,,
36303,AL,Houston County,Houston County,AL,69,,,,
36305,AL,Houston County,Houston County,AL,69,,,,
36312,AL,Houston County,Houston County,AL,69,,,,
36319,AL,Houston County,Houston County,AL,69,,,,
36320,AL,Houston County,Houston County,AL,69,,,,
36321,AL,Houston County,Houston County,AL,69,,,,
36343,AL,Houston County,Houston County,AL,69,,,,
36345,AL,Houston County,Houston County,AL,69,,,,
36350,AL,Houston County,Houston County,AL,69,,,,
36352,AL,Houston County,Houston County,AL,69,,,,
36370,AL,Houston County,Houston County,AL,69,,,,
36375,AL,Houston County,Houston County,AL,69,,,,
36376,AL,Houston County,Houston County,AL,69,,,,
35740,AL,Jackson County,Jackson County,AL,71,,,,
35744,AL,Jackson County,Jackson County,AL,71,,,,
35745,AL,Jackson County,Jackson County,AL,71,,,,
35746,AL,Jackson County,Jackson County,AL,71,,,,
35748,AL,Jackson County,Jackson County,AL,71,,,,
35751,AL,Jackson County,Jackson County,AL,71,,,,
35752,AL,Jackson County,Jackson County,AL,71,,,,
35755,AL,Jackson County,Jackson County,AL,71,,,,
35764,AL,Jackson County,Jackson County,AL,71,,,,
35765,AL,Jackson County,Jackson County,AL,71,,,,
35766,AL,Jackson County,Jackson County,AL,71,,,,
35768,AL,Jackson County,Jackson County,AL,71,,,,
35769,AL,Jackson County,Jackson County,AL,71,,,,
35771,AL,Jackson County,Jackson County,AL,71,,,,
35772,AL,Jackson County,Jackson County,AL,71,,,,
35774,AL,Jackson County,Jackson County,AL,71,,,,
35776,AL,Jackson County,Jackson County,AL,71,,,,
35958,AL,Jackson County,Jackson County,AL,71,,,,
35966,AL,Jackson County,Jackson County,AL,71,,,,
35978,AL,Jackson County,Jackson County,AL,71,,,,
35979,AL,Jackson County,Jackson County,AL,71,,,,
35005,AL,Jefferson County,Jefferson County,AL,73,,,,
35006,AL,Jefferson County,Jefferson County,AL,73,,,,
35015,AL,Jefferson County,Jefferson County,AL,73,,,,
35020,AL,Jefferson County,Jefferson County,AL,73,,,,
35022,AL,Jefferson County,Jefferson County,AL,73,,,,
35023,AL,Jefferson County,Jefferson County,AL,73,,,,
35036,AL,Jefferson County,Jefferson County,AL,73,,,,
35041,AL,Jefferson County,Jefferson County,AL,73,,,,
35048,AL,Jefferson County,Jefferson County,AL,73,,,,
35060,AL,Jefferson County,Jefferson County,AL,73,,,,
35061,AL,Jefferson County,Jefferson County,AL,73,,,,
35062,AL,Jefferson County,Jefferson County,AL,73,,,,
35063,AL,Jefferson County,Jefferson County,AL,73,,,,
35064,AL,Jefferson County,Jefferson County,AL,73,,,,
35068,AL,Jefferson County,Jefferson County,AL,73,,,,
35071,AL,Jefferson County,Jefferson County,AL,73,,,,
35073,AL,Jefferson County,Jefferson County,AL,73,,,,
35079,AL,Jefferson County,Jefferson County,AL,73,,,,
35091,AL,Jefferson County,Jefferson County,AL,73,,,,
35094,AL,Jefferson County,Jefferson County,AL,73,,,,
35111,AL,Jefferson County,Jefferson County,AL,73,,,,
35116,AL,Jefferson County,Jefferson County,AL,73,,,,
35117,AL,Jefferson County,Jefferson County,AL,73,,,,
35118,AL,Jefferson County,Jefferson County,AL,73,,,,
35119,AL,Jefferson County,Jefferson County,AL,73,,,,
35123,AL,Jefferson County,Jefferson County,AL,73,,,,
35126,AL,Jefferson County,Jefferson County,AL,73,,,,
35127,AL,Jefferson County,Jefferson County,AL,73,,,,
35130,AL,Jefferson County,Jefferson County,AL,73,,,,
35133,AL,Jefferson County,Jefferson County,AL,73,,,,
35139,AL,Jefferson County,Jefferson County,AL,73,,,,
35142,AL,Jefferson County,Jefferson County,AL,73,,,,
35146,AL,Jefferson County,Jefferson County,AL,73,,,,
35148,AL,Jefferson County,Jefferson County,AL,73,,,,
35172,AL,Jefferson County,Jefferson County,AL,73,,,,
35173,AL,Jefferson County,Jefferson County,AL,73,,,,
35180,AL,Jefferson County,Jefferson County,AL,73,,,,
35181,AL,Jefferson County,Jefferson County,AL,73,,,,
35203,AL,Jefferson County,Jefferson County,AL,73,,,,
35204,AL,Jefferson County,Jefferson County,AL,73,,,,
35205,AL,Jefferson County,Jefferson County,AL,73,,,,
35206,AL,Jefferson County,Jefferson County,AL,73,,,,
35207,AL,Jefferson County,Jefferson County,AL,73,,,,
35208,AL,Jefferson County,Jefferson County,AL,73,,,,
35209,AL,Jefferson County,Jefferson County,AL,73,,,,
35210,AL,Jefferson County,Jefferson County,AL,73,,,,
35211,AL,Jefferson County,Jefferson County,AL,73,,,,
35212,AL,Jefferson County,Jefferson County,AL,73,,,,
35213,AL,Jefferson County,Jefferson County,AL,73,,,,
35214,AL,Jefferson County,Jefferson County,AL,73,,,,
35215,AL,Jefferson County,Jefferson County,AL,73,,,,
35216,AL,Jefferson County,Jefferson County,AL,73,,,,
35217,AL,Jefferson County,Jefferson County,AL,73,,,,
35218,AL,Jefferson County,Jefferson County,AL,73,,,,
35219,AL,Jefferson County,Jefferson County,AL,73,,,,
35221,AL,Jefferson County,Jefferson County,AL,73,,,,
35222,AL,Jefferson County,Jefferson County,AL,73,,,,
35223,AL,Jefferson County,Jefferson County,AL,73,,,,
35224,AL,Jefferson County,Jefferson County,AL,73,,,,
35226,AL,Jefferson County,Jefferson County,AL,73,,,,
35228,AL,Jefferson County,Jefferson County,AL,73,,,,
35229,AL,Jefferson County,Jefferson County,AL,73,,,,
35233,AL,Jefferson County,Jefferson County,AL,73,,,,
35234,AL,Jefferson County,Jefferson County,AL,73,,,,
35235,AL,Jefferson County,Jefferson County,AL,73,,,,
35242,AL,Jefferson County,Jefferson County,AL,73,,,,
35243,AL,Jefferson County,Jefferson County,AL,73,,,,
35244,AL,Jefferson County,Jefferson County,AL,73,,,,
35249,AL,Jefferson County,Jefferson County,AL,73,,,,
